Batting Statistics by Player Ranking in the American Leage
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
72                       Christian Vazquez        BOS                      482                      66                       133                      26                       1                        23                       72                       4                        2                        33                       101                      .276                     .320                     .477                     .798                     2.2                      
73                       Eddie Rosario            MIN                      562                      91                       155                      28                       1                        32                       109                      3                        1                        22                       86                       .276                     .300                     .500                     .800                     1.6                      
74                       Jordan Luplow            CLE                      225                      42                       62                       15                       1                        15                       38                       3                        2                        33                       61                       .276                     .372                     .551                     .923                     1.7                      
75                       Josh Reddick             HOU                      501                      57                       138                      19                       3                        14                       56                       5                        2                        36                       66                       .275                     .319                     .409                     .728                     1.2                      
76                       Elvis Andrus             TEX                      600                      81                       165                      27                       4                        12                       72                       31                       8                        34                       96                       .275                     .313                     .393                     .707                     1.9                      
77                       Dee Gordon               SEA                      393                      36                       108                      12                       6                        3                        34                       22                       5                        18                       61                       .275                     .304                     .359                     .663                     0.4                      
78                       Terrance Gore            KC                       51                       13                       14                       2                        1                        0                        1                        13                       5                        6                        18                       .275                     .362                     .353                     .715                     0.2                      
79                       Jonathan Villar          BAL                      642                      111                      176                      33                       5                        24                       73                       40                       9                        61                       176                      .274                     .339                     .453                     .792                     4.0                      
80                       Tommy Pham               TB                       567                      77                       155                      33                       2                        21                       68                       25                       4                        81                       123                      .273                     .369                     .450                     .818                     3.7                      

RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
81                       James McCann             CHW                      439                      62                       120                      26                       1                        18                       60                       4                        1                        30                       137                      .273                     .328                     .460                     .789                     3.8                      
82                       Mitch Garver             MIN                      311                      70                       85                       16                       1                        31                       67                       0                        0                        41                       87                       .273                     .365                     .630                     .995                     4.0                      
83                       Mark Canha               OAK                      410                      80                       112                      16                       3                        26                       58                       3                        2                        67                       107                      .273                     .396                     .517                     .913                     4.5                      
84                       Tom Murphy               SEA                      260                      32                       71                       12                       1                        18                       40                       2                        0                        19                       87                       .273                     .324                     .535                     .858                     2.6                      
85                       Nicholas Castellanos     DET                      403                      57                       110                      37                       3                        11                       37                       2                        1                        31                       96                       .273                     .328                     .462                     .790                     1.2                      
86                       Michael Brosseau         TB                       132                      17                       36                       7                        0                        6                        16                       1                        0                        7                        39                       .273                     .319                     .462                     .781                     0.4                      
87                       Aaron Judge              NYY                      378                      75                       103                      18                       1                        27                       55                       3                        2                        64                       141                      .272                     .381                     .540                     .921                     5.4                      
88                       Ehire Adrianza           MIN                      202                      34                       55                       8                        3                        5                        22                       0                        2                        20                       40                       .272                     .349                     .416                     .765                     1.1                      
89                       Vladimir Guerrero Jr.    TOR                      464                      52                       126                      26                       2                        15                       69                       0                        1                        46                       91                       .272                     .339                     .433                     .772                     2.1                      
90                       Aledmys Diaz             HOU                      210                      36                       57                       12                       1                        9                        40                       2                        0                        26                       28                       .271                     .356                     .467                     .823                     1.4                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
91                       Tim Lopes                SEA                      111                      11                       30                       7                        0                        1                        12                       6                        3                        15                       29                       .270                     .359                     .360                     .720                     0.8                      
